iter	Passed	Remaining
1225	13159	8307
1226	13169	8296
1227	13179	8285
1228	13190	8274
1229	13200	8263
1230	13210	8252
1231	13220	8241
1232	13230	8230
1233	13239	8218
1234	13249	8207
1235	13259	8195
1236	13268	8184
1237	13278	8173
1238	13288	8161
1239	13298	8150
1240	13308	8139
1241	13319	8129
1242	13329	8117
1243	13338	8105
1244	13347	8094
1245	13357	8083
1246	13366	8071
1247	13376	8060
1248	13385	8048
1249	13395	8037
1250	13404	8025
1251	13414	8014
1252	13423	8002
1253	13433	7991
1254	13443	7980
1255	13452	7968
1256	13461	7956
1257	13470	7945
1258	13480	7933
1259	13489	7922
1260	13498	7910
1261	13508	7899
1262	13517	7887
1263	13527	7876
1264	13537	7865
1265	13546	7854
1266	13556	7842
1267	13565	7831
1268	13575	7820
1269	13584	7808
1270	13594	7797
1271	13603	7785
1272	13612	7773
1273	13621	7762
1274	13631	7750
1275	13641	7739
1276	13650	7728
1277	13659	7717
1278	13669	7705
1279	13678	7694
1280	13687	7682
1281	13697	7671
1282	13706	7659
1283	13716	7648
1284	13726	7637
1285	13735	7626
1286	13745	7614
1287	13754	7603
1288	13764	7592
1289	13774	7581
1290	13783	7569
1291	13793	7558
1292	13802	7547
1293	13812	7535
1294	13821	7524
1295	13831	7513
1296	13840	7501
1297	13850	7490
1298	13859	7479
1299	13868	7467
1300	13878	7456
1301	13888	7445
1302	13897	7434
1303	13907	7422
1304	13916	7411
1305	13926	7400
1306	13935	7388
1307	13945	7377
1308	13954	7366
1309	13963	7355
1310	13973	7343
1311	13983	7332
1312	13993	7321
1313	14002	7310
1314	14011	7299
1315	14021	7287
1316	14031	7276
1317	14040	7265
1318	14049	7253
1319	14058	7242
1320	14068	7231
1321	14077	7219
1322	14087	7208
1323	14096	7197
1324	14106	7186
1325	14115	7175
1326	14125	7163
1327	14134	7152
1328	14144	7141
1329	14154	7130
1330	14163	7119
1331	14174	7108
1332	14184	7097
1333	14193	7086
1334	14203	7075
1335	14214	7064
1336	14224	7053
1337	14234	7042
1338	14244	7031
1339	14253	7020
1340	14263	7009
1341	14273	6998
1342	14282	6987
1343	14292	6976
1344	14302	6965
1345	14311	6953
1346	14321	6943
1347	14331	6931
1348	14340	6920
1349	14350	6909
1350	14359	6898
1351	14368	6886
1352	14377	6875
1353	14387	6864
1354	14397	6853
1355	14406	6842
1356	14416	6831
1357	14425	6819
1358	14435	6808
1359	14444	6797
1360	14454	6786
1361	14463	6775
1362	14473	6764
1363	14482	6753
1364	14492	6741
1365	14501	6730
1366	14511	6719
1367	14520	6708
1368	14529	6697
1369	14540	6686
1370	14550	6675
1371	14560	6664
1372	14570	6653
1373	14579	6642
1374	14589	6631
1375	14599	6620
1376	14609	6609
1377	14620	6599
1378	14630	6588
1379	14640	6577
1380	14649	6566
1381	14659	6555
1382	14669	6544
1383	14679	6533
1384	14688	6522
1385	14697	6511
1386	14707	6499
1387	14716	6488
1388	14725	6477
1389	14735	6466
1390	14745	6455
1391	14754	6444
1392	14763	6433
1393	14773	6422
1394	14782	6411
1395	14791	6399
1396	14801	6389
1397	14811	6378
1398	14821	6367
1399	14830	6356
1400	14840	6344
1401	14849	6333
1402	14859	6322
1403	14868	6311
1404	14877	6300
1405	14887	6289
1406	14897	6278
1407	14907	6267
1408	14917	6257
1409	14927	6246
1410	14936	6234
1411	14945	6223
1412	14954	6212
1413	14964	6201
1414	14973	6190
1415	14983	6179
1416	14992	6168
1417	15002	6157
1418	15011	6146
1419	15020	6135
1420	15030	6124
1421	15039	6113
1422	15048	6101
1423	15058	6091
1424	15068	6080
1425	15077	6069
1426	15087	6058
1427	15096	6047
1428	15106	6036
1429	15115	6025
1430	15125	6014
1431	15134	6002
1432	15142	5991
1433	15151	5980
1434	15161	5969
1435	15170	5958
1436	15180	5947
1437	15189	5936
1438	15199	5925
1439	15209	5914
1440	15218	5903
1441	15229	5893
1442	15240	5882
1443	15250	5872
1444	15260	5861
1445	15270	5850
1446	15279	5839
1447	15289	5828
1448	15299	5817
1449	15309	5806
1450	15318	5796
1451	15328	5785
1452	15337	5774
1453	15347	5763
1454	15356	5752
1455	15366	5741
1456	15375	5730
1457	15386	5719
1458	15395	5708
1459	15405	5697
1460	15415	5687
1461	15424	5676
1462	15434	5665
1463	15444	5654
1464	15453	5643
1465	15464	5633
1466	15473	5622
1467	15483	5611
1468	15492	5600
1469	15502	5589
1470	15512	5578
1471	15522	5567
1472	15532	5556
1473	15541	5545
1474	15550	5535
1475	15559	5523
1476	15569	5513
1477	15579	5502
1478	15588	5491
1479	15597	5480
1480	15606	5469
1481	15616	5458
1482	15625	5447
1483	15634	5436
1484	15645	5425
1485	15654	5414
1486	15664	5404
1487	15674	5393
1488	15684	5382
1489	15693	5371
1490	15703	5360
1491	15713	5350
1492	15722	5339
1493	15731	5328
1494	15741	5317
1495	15751	5306
1496	15761	5295
1497	15770	5285
1498	15780	5274
1499	15789	5263
1500	15798	5252
1501	15807	5241
1502	15817	5230
1503	15827	5219
1504	15836	5208
1505	15846	5197
1506	15855	5186
1507	15864	5176
1508	15874	5165
1509	15884	5154
1510	15893	5143
1511	15903	5132
1512	15913	5122
1513	15922	5111
1514	15932	5100
1515	15942	5089
1516	15951	5078
1517	15961	5068
1518	15970	5057
1519	15980	5046
1520	15989	5035
1521	15998	5024
1522	16008	5013
1523	16017	5002
1524	16027	4992
1525	16036	4981
1526	16046	4970
1527	16055	4959
1528	16064	4948
1529	16073	4937
1530	16083	4926
1531	16093	4916
1532	16102	4905
1533	16111	4894
1534	16121	4883
1535	16130	4872
1536	16140	4862
1537	16149	4851
1538	16159	4840
1539	16169	4829
1540	16178	4818
1541	16187	4808
1542	16198	4797
1543	16207	4786
1544	16217	4775
1545	16226	4765
